HS_NO       NOTE
0101210000 馬，純種繁殖用
0101290000 其他馬
0101300000 驢
0101900000 騾及駃騠
0102210000 牛，純種繁殖用
0102290000 其他牛
0102310000 水牛，純種繁殖用
0102390000 其他水牛
0102901000 其他牛，純種繁殖用
0102909000 其他牛
0103100000 豬，純種繁殖用
0103910000 豬，重量少於５０公斤者，純種繁殖用除外
0103920000 豬，重量５０公斤及以上者，純種繁殖用除外
0104100000 綿羊
0104200010 山羊，純種繁殖用
0104200020 山羊，純種繁殖用除外
0105111000 雞，純種繁殖用，重量１８５公克及以下者
0105112000 雞，純種繁殖用除外，重量１８５公克及以下者
0105121000 火雞，純種繁殖用，重量１８５公克及以下者
0105122000 火雞，純種繁殖用除外，重量１８５公克及以下者
0105131000 鴨，純種繁殖用，重量185公克及以下者
0105139000 鴨，純種繁殖用除外，重量185公克及以下者
0105141000 鵝，純種繁殖用，重量185公克及以下者
0105149000 鵝，純種繁殖用除外，重量185公克及以下者
0105151000 珍珠雞，純種繁殖用，重量185公克及以下者
0105159000 珍珠雞，純種繁殖用除外，重量185公克及以下者
0105941000 飼養之雞，純種繁殖用，重量１８５公克以上者
0105942000 飼養之雞，純種繁殖用除外，重量１８５公克以上者
0105991000 鴨、鵝、火雞、珍珠雞，純種繁殖用，重量１８５公克以上者
0105992000 鴨、鵝、火雞、珍珠雞，純種繁殖用除外，重量１８５公克以上者
0106110000 靈長目之哺乳類動物
0106121000 鯨、海豚及鼠海豚（鯨目之哺乳類動物）；海牛及儒艮（海牛目之哺乳類動物）
0106122000 海豹、海獅及海象（鰭腳亞目之哺乳類動物）
0106130000 駱駝及其他駱駝科動物
0106141000 家兔及野兔（食用）
0106149000 其他家兔及野兔
0106191021 鹿，純種繁殖用
0106191022 鹿，純種繁殖用除外
0106191090 其他飼養活畜（食用）
0106192010 犬
0106192020 貓
0106192090 其他飼養活畜
0106193000 其他水產活動物
0106194011 老虎
0106194012 獅子
0106194013 豹
0106194014 熊
0106194015 象
0106194017 長頸鹿
0106194018 犀牛
0106194021 松鼠
0106194022 袋鼠
0106194023 美洲巨水鼠科
0106194030 河馬
0106194040 鹿
0106194090 其他活獸畜
0106199000 其他哺乳類動物
0106201000 活蛇
0106202010 鱉（甲魚）及苗
0106202021 豹紋陸龜（含其亞種）
0106202022 蘇卡達象龜（含其亞種）
0106202023 貝氏絞陸龜（含其亞種）
0106202029 其他陸龜（象龜）科
0106202090 其他活龜
0106209010 沙氏變色蜥
0106209090 其他爬蟲類
0106310000 猛禽
0106320000 鸚鵡目﹝包括鸚鵡、長尾鸚鵡、金剛鸚鵡、鳳頭鸚鵡﹞
0106330010 駝鳥及鴯鶓，純種繁殖用
0106330020 其他駝鳥及鴯鶓
0106390012 十姊妹
0106390013 金絲雀
0106390014 錦靜鳥
0106390015 小紋鳥
0106390016 文鳥
0106390017 胡錦鳥
0106390021 錦花鳥
0106390022 鴿
0106390023 鵪鶉
0106390030 其他活禽（不包括第０１０５節之活禽）
0106390031 中國藍鵲
0106390090 其他活鳥類
0106410000 蜂
0106490010 金龜（綠花金龜屬，叉角花金龜屬，扁角花金龜屬，角金龜屬，蛀犀角金龜屬，長臂金龜屬）
0106490020 鍬形蟲（大鍬形蟲屬，肥角鍬形蟲屬，鋸鍬形蟲屬）
0106490090 其他活昆蟲
0106900010 蛙及苗
0106900090 其他活動物
0201101000 特殊品級屠體及半片屠體牛肉，生鮮或冷藏
0201109000 其他屠體及半片屠體牛肉，生鮮或冷藏
0201201000 特殊品級帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏
0201202000 特選級或精選級肉牛切割之帶骨牛腩、牛腱，生鮮或冷藏
0201209010 帶骨切割牛肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏
0201209020 其他帶骨牛腩、牛腱，生鮮或冷藏
0201209090 其他帶骨切割牛肉，生鮮或冷藏
0201301010 特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）之絞肉，生鮮或冷藏
0201301090 其他特殊品級去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉），生鮮或冷藏
0201302010 特選級或精選級肉牛切割之去骨牛腩、牛腱之絞肉，生鮮或冷藏
0201302090 其他特選級或精選級肉牛切割之去骨牛腩、牛腱，生鮮或冷藏
0201309010 其他去骨牛肉排（胸側肉、背脊肉、腰內肉、腰脊肉、上腿肉），生鮮或冷藏
0201309020 其他去骨牛腩、牛腱，生鮮或冷藏
0201309030 其他去骨牛肉之絞肉，生鮮或冷藏
0201309090 其他去骨牛肉，生鮮或冷藏
0202101000 特殊品級冷凍屠體及半片屠體牛肉
0202109000 其他冷凍屠體及半片屠體牛肉
0202201000 特殊品級冷凍帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）
0202202000 特選級或精選級肉牛切割之冷凍帶骨牛腩、牛腱
0202209010 其他冷凍帶骨切割牛肉排（胸側肉、背脊肉、腰脊肉、上腿肉）
0202209020 其他冷凍帶骨牛腩、牛腱
0202209090 其他冷凍帶骨切割牛肉
0202301010 特殊品級冷凍去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）之絞肉
0202301090 其他特殊品級冷凍去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）
0202302010 特選級或精選級肉牛切割之冷凍去骨牛腩、牛腱之絞肉
0202302090 其他特選級或精選級肉牛切割之冷凍去骨牛腩、牛腱
0202309010 其他冷凍去骨牛肉排（胸側肉、背脊肉、腰內肉、腰脊肉、上腿肉）
0202309020 其他冷凍去骨牛腩、牛腱
0202309030 其他冷凍去骨牛肉之絞肉
0202309090 其他冷凍去骨牛肉
0203110010 帶頭、皮、耳、尾及腳（不含內臟），重量不超過８公斤之整隻屠體豬肉，生鮮或冷藏
0203110090 其他屠體及半片屠體豬肉，生鮮或冷藏
0203120000 帶骨之豬腿肉、肩肉及其切割肉，生鮮或冷藏
0203191100 去骨豬腹脇肉（包括腩排），生鮮或冷藏
0203191900 其他去骨豬肉，生鮮或冷藏
0203199100 帶骨豬腹脇肉（包括腩排），生鮮或冷藏
0203199900 其他帶骨豬肉，生鮮或冷藏
0203210010 帶頭、皮、耳、尾及腳（不含內臟），重量不超過８公斤之整隻屠體豬肉，冷凍
0203210090 其他冷凍屠體及半片屠體豬肉
0203220000 冷凍帶骨之豬腿肉、肩肉及其切割肉
0203291100 冷凍去骨豬腹脇肉（包括腩排）
0203291910 冷凍去骨之豬後腿肉、肩胛肉、腰內肉、大里脊及其切割肉
0203291990 其他冷凍去骨豬肉
0203299100 冷凍帶骨豬腹脇肉（包括腩排）
0203299900 其他冷凍帶骨豬肉
0204100000 屠體及半片屠體小羊肉，生鮮或冷藏
0204210000 屠體及半片屠體綿羊肉，生鮮或冷藏
0204220000 其他帶骨切割綿羊肉，生鮮或冷藏
0204230000 去骨綿羊肉，生鮮或冷藏
0204300000 冷凍屠體及半片屠體小羊肉
0204410000 冷凍屠體及半片屠體綿羊肉
0204420000 其他冷凍帶骨切割綿羊肉
0204430000 冷凍去骨綿羊肉
0204500010 山羊肉，生鮮或冷藏
0204500020 山羊肉，冷凍
0205000000 肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍
0206101000 牛肉骨，生鮮或冷藏
0206109011 食用牛舌，生鮮或冷藏
0206109012 食用牛唇，生鮮或冷藏
0206109013 食用牛耳，生鮮或冷藏
0206109020 食用牛肝，生鮮或冷藏 
0206109030 食用牛眼，生鮮或冷藏 
0206109040 食用牛腦、脊髓及頭顱，生鮮或冷藏
0206109050 食用牛心及肺，生鮮或冷藏
0206109060 食用牛腎及脾臟，生鮮或冷藏
0206109070 食用牛鞭、睪丸及尾，生鮮或冷藏
0206109081 食用牛橫膈膜，生鮮或冷藏
0206109082 食用牛背板筋，生鮮或冷藏
0206109083 食用牛腹膈膜，生鮮或冷藏
0206109091 食用牛胰臟及子宮，生鮮或冷藏
0206109099 其他食用牛雜碎，生鮮或冷藏
0206210000 冷凍牛舌
0206220000 冷凍牛肝
0206291000 冷凍牛肉骨
0206299010 冷凍食用牛眼
0206299020 冷凍食用牛腦、脊髓及頭顱
0206299030 冷凍食用牛心及肺
0206299040 冷凍食用牛腎及脾臟
0206299050 冷凍食用牛鞭、睪丸及尾 
0206299061 冷凍食用牛橫膈膜
0206299062 冷凍食用牛背板筋
0206299063 冷凍食用牛腹膈膜
0206299071 冷凍食用牛唇
0206299072 冷凍食用牛耳
0206299091 冷凍食用牛胰臟及子宮
0206299099 其他冷凍食用牛雜碎
0206301000 豬肉骨，生鮮或冷藏
0206302000 豬腳（包括前、後腿蹄膀及腱子肉）及橫膈膜，生鮮或冷藏
0206309000 其他食用豬雜碎，生鮮或冷藏
0206410000 冷凍豬肝
0206491000 冷凍豬筋
0206492000 冷凍豬肉骨
0206493000 冷凍豬腳（包括前、後腿蹄膀及腱子肉）及橫膈膜
0206499000 其他冷凍食用豬雜碎
0206801100 羊肉骨，生鮮或冷藏
0206801900 其他食用羊雜碎，生鮮或冷藏
0206802000 雜碎（馬、驢、騾、駃騠），生鮮或冷藏
0206901000 冷凍羊肉骨
0206909000 其他冷凍羊雜碎
0207110000 雞肉，未切成塊者，生鮮或冷藏
0207120000 冷凍雞肉，未切成塊者
0207131100 雞腿（包括棒棒腿及骨腿）及雞翅，生鮮或冷藏
0207131900 其他雞肉肉塊，生鮮或冷藏
0207132000 雞肝，生鮮或冷藏
0207139100 雞心及雞腳，生鮮或冷藏
0207139200 雞脖子，生鮮或冷藏
0207139900 其他雞雜碎，生鮮或冷藏
0207141100 冷凍雞腿（包括棒棒腿及骨腿）及雞趐
0207141900 其他冷凍雞肉肉塊
0207142100 冷凍雞肝
0207142200 冷凍雞心及雞腳
0207142300 冷凍雞脖子
0207142900 其他雞雜碎，冷凍
0207240000 火雞肉，未切成塊者，生鮮或冷藏
0207250000 冷凍火雞肉，未切成塊者
0207261000 火雞肉肉塊，生鮮或冷藏
0207262000 火雞肝，生鮮或冷藏
0207269000 其他火雞雜碎，生鮮或冷藏
0207271000 冷凍火雞肉，肉塊
0207272100 冷凍火雞肝
0207272200 冷凍火雞心
0207272900 其他火雞雜碎，冷凍
0207410000 鴨肉，未切成塊者，生鮮或冷藏
0207420000 冷凍鴨肉，未切成塊者
0207430000 鴨脂肝，生鮮或冷藏
0207441000 鴨肉，肉塊，生鮮或冷藏
0207442000 鴨心，生鮮或冷藏
0207449000 其他鴨雜碎，生鮮或冷藏
0207451000 冷凍鴨肉，肉塊
0207452000 冷凍鴨肝
0207453000 冷凍鴨心
0207459000 其他鴨雜碎，冷凍
0207510000 鵝肉，未切成塊者，生鮮或冷藏
0207520000 冷凍鵝肉，未切成塊者
0207530000 鵝脂肝，生鮮或冷藏
0207541000 鵝肉，肉塊，生鮮或冷藏
0207542000 鵝心，生鮮或冷藏
0207549000 其他鵝雜碎，生鮮或冷藏
0207551000 冷凍鵝肉，肉塊
0207552000 冷凍鵝肝
0207553000 冷凍鵝心
0207559000 其他鵝雜碎，冷凍
0207601000 珍珠雞肉，未切成塊者，生鮮或冷藏
0207602000 珍珠雞肉，肉塊，生鮮或冷藏
0207603000 其他珍珠雞雜碎，生鮮或冷藏
0207604000 冷凍珍珠雞肉，未切成塊者
0207605000 冷凍珍珠雞肉，肉塊
0207606000 冷凍珍珠雞肝
0207609000 其他珍珠雞雜碎，冷凍
0208101000 家兔肉或野兔肉，生鮮、冷藏或冷凍
0208102000 家兔或野兔之食用雜碎，生鮮、冷藏或冷凍
0208301000 靈長目之哺乳類動物肉，生鮮、冷藏或冷凍
0208302000 靈長目之哺乳類動物之食用雜碎，生鮮、冷藏或冷凍
0208401010 鯨肉、海豚肉及鼠海豚肉，生鮮、冷藏或冷凍
0208401020 海牛肉及儒艮肉，生鮮、冷藏或冷凍
0208402010 鯨、海豚及鼠海豚之食用雜碎，生鮮、冷藏或冷凍
0208402020 海牛及儒艮食用雜碎，生鮮、冷藏或冷凍
0208403000 海豹肉、海獅肉及海象肉，生鮮、冷藏或冷凍
0208404000 海豹、海獅及海象之食用雜碎，生鮮、冷藏或冷凍
0208501010 蛇肉，生鮮、冷藏或冷凍
0208501020 龜肉，生鮮、冷藏或冷凍
0208501090 其他爬蟲類肉，生鮮、冷藏或冷凍
0208502010 蛇之食用雜碎，生鮮、冷藏或冷凍
0208502020 龜之食用雜碎，生鮮、冷藏或冷凍
0208502090 其他爬蟲類之食用雜碎，生鮮、冷藏或冷凍
0208601000 駱駝肉及其他駱駝科動物之肉，生鮮、冷藏或冷凍
0208602000 駱駝及其他駱駝科動物之食用雜碎，生鮮、冷藏或冷凍
0208901100 鹿肉，生鮮、冷藏或冷凍
0208901200 鹿鞭，生鮮、冷藏或冷凍
0208901300 鹿腳筋，生鮮、冷藏或冷凍
0208902100 蛙腿肉，生鮮、冷藏或冷凍
0208902910 鹿肉骨，生鮮、冷藏或冷凍
0208902920 狗肉，生鮮、冷藏或冷凍
0208902990 其他肉類，生鮮、冷藏或冷凍
0208909050 鱉（甲魚）內臟，生鮮、冷藏或冷凍
0208909090 其他食用雜碎（第０２０６節及第０２０７節除外），生鮮、冷藏或冷凍
0209100000 不帶瘦肉之豬脂肪，未熬或未以其他方法萃取，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者
0209900000 不帶瘦肉之禽脂肪，未熬或未以其他方法萃取，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者
0210110000 帶骨之豬腿肉、肩肉及其切割肉
0210120000 豬腹脇肉及其切割肉
0210190000 其他鹹、浸鹹、乾或燻製之豬肉
0210200000 鹹、浸鹹、乾或燻製之牛肉
0210910011 鹹、浸鹹或燻製之靈長目哺乳類動物肉
0210910012 乾之靈長目哺乳類動物肉
0210910021 鹹、浸鹹或燻製之靈長目哺乳類動物食用雜碎
0210910022 乾靈長目哺乳類動物食用雜碎
0210910030 靈長目哺乳類動物肉或雜碎肉製成之食用肉粉及粗肉粉
0210920011 鹹、浸鹹或燻製之鯨肉、海豚肉及鼠海豚肉
0210920012 乾鯨肉、海豚肉及鼠海豚肉
0210920013 鹹、浸鹹或燻製之海牛肉及儒艮肉
0210920014 乾海牛肉及儒艮肉
0210920015 鹹、浸鹹或燻製之海豹、海獅及海象肉
0210920016 乾海豹、海獅及海象肉
0210920021 鹹、浸鹹或燻製之鯨、海豚及鼠海豚食用雜碎
0210920022 乾鯨、海豚及鼠海豚食用雜碎
0210920023 鹹、浸鹹或燻製之海牛及儒艮食用雜碎
0210920024 乾海牛及儒艮食用雜碎
0210920025 鹹、浸鹹或燻製之海豹、海獅及海象食用雜碎
0210920026 乾海豹、海獅及海象食用雜碎
0210920031 鯨、海豚及鼠海豚之肉或雜碎肉製成之食用肉粉及粗肉粉
0210920032 海牛及儒艮之肉或雜碎肉製成之食用肉粉及粗肉粉
0210920033 海豹、海獅及海象之肉或雜碎肉製成之食用肉粉及粗肉粉
0210930011 鹹、浸鹹或燻製之蛇肉
0210930014 鹹、浸鹹或燻製之龜肉
0210930019 鹹、浸鹹或燻製之其他爬蟲類肉
0210930023 乾蛇肉
0210930024 乾龜肉
0210930029 其他乾爬蟲類肉
0210930031 鹹、浸鹹或燻製之蛇食用雜碎
0210930032 鹹、浸鹹或燻製之龜食用雜碎
0210930039 鹹、浸鹹或燻製之其他爬蟲類食用雜碎
0210930041 乾蛇食用雜碎
0210930042 乾龜食用雜碎
0210930049 乾其他爬蟲類食用雜碎
0210930051 蛇肉或其雜碎肉製成之食用肉粉及粗肉粉
0210930052 龜肉或其雜碎肉製成之食用肉粉及粗肉粉
0210930059 其他爬蟲類之肉或雜碎肉製成之食用肉粉及粗肉粉
0210991100 鹹、浸鹹、乾或燻製之雞肝
0210991200 鹹、浸鹹、乾或燻製之雞腿（包括棒棒腿及骨腿）及雞翅
0210991300 鹹、浸鹹、乾或燻製之雞心及雞腳
0210991900 其他部位雞肉，鹹、浸鹹、乾或燻製
0210992100 鹹、浸鹹、乾或燻製之其他家禽肝
0210992911 鹹、浸鹹、乾或燻製之家禽砂囊（肫）
0210992919 鹹、浸鹹、乾或燻製之其他食用家禽雜碎（肝除外）
0210992920 其他家禽雜碎製成之食用肉粉及粗肉粉
0210993000 乾蛤蚧
0210994100 乾鹿鞭
0210994200 乾鹿腳筋
0210999010 鹹、浸鹹、乾或燻製之其他家禽肉類
0210999020 鹹、浸鹹、乾或燻製之其他動物肉類及其食用雜碎
0210999030 其他肉類或雜碎肉製成之食用肉粉及粗肉粉
0301110010 錦鯉
0301110020 保育類觀賞用魚類
0301110090 其他觀賞用魚，淡水
0301190010 保育類熱帶魚類
0301190090 其他觀賞用魚
0301910000 活鱒
0301921010 活鰻（白鰻）
0301921020 活鰻（鱸鰻）
0301921030 澳洲活鰻
0301921090 其他活鰻（鰻鱺屬）
0301922010 鰻線（白鰻線）（每公斤５０００尾以上）
0301922020 鰻苗（白鰻苗）（每公斤５０１尾至５０００尾）
0301922030 幼鰻（幼白鰻）（每公斤１１尾至５００尾）
0301930000 鯉魚
0301940000 大西洋及太平洋黑鮪
0301950000 活南方黑鮪
0301991010 烏魚苗
0301991020 虱目魚苗
0301991030 鯰魚苗
0301991040 石斑魚苗
0301991051 七星鱸魚苗
0301991052 紅目鱸魚苗
0301991062 保育類淡水魚苗
0301991063 保育類鹹水魚苗
0301991070 海鱺魚苗
0301991080 吳郭魚苗
0301991091 其他淡水魚苗
0301991092 其他鹹水魚苗
0301992100 活鱔魚
0301992200 其他鯉魚
0301992910 活鯰
0301992920 活櫻花鉤吻鮭（台灣鱒、梨山鱒）
0301992930 活泥鰍
0301992941 活石斑魚
0301992942 活鱘魚
0301992943 大口黑鱸（美洲大嘴鱸）
0301992944 星點黑鱸
0301992945 玻璃魚
0301992946 泰國鱧
0301992947 魚虎
0301992948 食人魚
0301992949 電鰻科（裸背電鰻科）
0301992951 活鯨鯊
0301992952 活大白鯊
0301992953 活象鮫
0301992954 活巨口鯊
0301992960 活鬼蝠魟（前口蝠鱝）屬
0301992991 其他活淡水魚類
0301992992 其他活鹹水魚類
0302110000 鱒，生鮮或冷藏
0302130000 太平洋鮭，生鮮或冷藏
0302140000 大西洋鮭及多瑙河鮭，生鮮或冷藏
