HS_NO     NOTE
01       第１章　活動物
0101     馬、驢、騾及駃騠
01012    ─馬︰
010121   純種繁殖用
01012100 馬，純種繁殖用
010129   其他
01012900 其他馬
010130   驢
01013000 驢
010190   其他
01019000 騾及駃騠
0102     牛
01022    ─牛︰
010221   純種繁殖用
01022100 牛，純種繁殖用
010229   其他
01022900 其他牛
01023    ─水牛︰
010231   純種繁殖用
01023100 水牛，純種繁殖用
010239   其他
01023900 其他水牛
010290   其他
01029010 其他牛，純種繁殖用
01029090 其他牛
0103     豬
010310   純種繁殖用
01031000 豬，純種繁殖用
01039    －其他︰
010391   重量少於５０公斤者
01039100 豬，重量少於５０公斤者，純種繁殖用除外
010392   重量５０公斤及以上者
01039200 豬，重量５０公斤及以上者，純種繁殖用除外
0104     綿羊及山羊
010410   綿羊
01041000 綿羊
010420   山羊
01042000 山羊
0105     家禽，係指雞、鴨、鵝、火雞及珍珠雞
01051    －重量１８５公克及以下者︰
010511   飼養之雞
01051110 雞，純種繁殖用，重量１８５公克及以下者
01051120 雞，純種繁殖用除外，重量１８５公克及以下者
010512   火雞
01051210 火雞，純種繁殖用，重量１８５公克及以下者
01051220 火雞，純種繁殖用除外，重量１８５公克及以下者
010513   鴨
01051310 鴨，純種繁殖用，重量185公克及以下者
01051390 鴨，純種繁殖用除外，重量185公克及以下者
010514   鵝
01051410 鵝，純種繁殖用，重量185公克及以下者
01051490 鵝，純種繁殖用除外，重量185公克及以下者
010515   珍珠雞
01051510 珍珠雞，純種繁殖用，重量185公克及以下者
01051590 珍珠雞，純種繁殖用除外，重量185公克及以下者
01059    －其他︰
010594   飼養之雞
01059410 飼養之雞，純種繁殖用，重量１８５公克以上者
01059420 飼養之雞，純種繁殖用除外，重量１８５公克以上者
010599   其他
01059910 鴨、鵝、火雞、珍珠雞，純種繁殖用，重量１８５公克以上者
01059920 鴨、鵝、火雞、珍珠雞，純種繁殖用除外，重量１８５公克以上者
0106     其他活動物
01061    －哺乳類動物：
010611   靈長目
01061100 靈長目之哺乳類動物
